# x,p
-5.824.,-5.824.
1.574.,0.157.
-8.234.,0.157.
6.953.,0.695.
0.499.,0.695.
-8.839.,0.695.
-1.398.,0.695.
-9.236.,0.695.
-2.830.,0.695.
-2.155.,0.695.
8.154.,0.815.
-0.241.,0.815.
-8.816.,0.815.
5.061.,0.815.
-0.373.,0.815.
-9.242.,0.815.
9.037.,0.904.
4.036.,0.904.
-7.009.,0.904.
-8.898.,0.904.
-3.486.,0.904.
-8.728.,0.904.
-8.316.,0.904.
7.734.,0.904.
-1.365.,0.904.
3.512.,0.904.
-6.754.,0.904.
5.530.,0.904.
9.675.,0.968.
5.297.,0.968.
8.152.,0.968.
-9.395.,0.968.
4.405.,0.968.
-5.454.,0.968.
3.348.,0.968.
-9.986.,0.968.
2.584.,0.968.
8.856.,0.968.
8.526.,0.968.
5.170.,0.968.
-3.623.,0.968.
8.730.,0.968.
5.928.,0.968.
-9.093.,0.968.
9.109.,0.968.
-8.985.,0.968.
0.032.,0.968.
0.233.,0.968.
6.437.,0.968.
2.014.,0.968.
-9.484.,0.968.
2.011.,0.968.
4.495.,0.968.
-3.942.,0.968.
-7.519.,0.968.
-6.681.,0.968.
-4.141.,0.968.
0.541.,0.968.
3.695.,0.968.
-0.519.,0.968.
-7.844.,0.968.
5.711.,0.968.
-8.654.,0.968.
-0.729.,0.968.
2.897.,0.968.
9.910.,0.991.
-7.896.,0.991.
-7.358.,0.991.
-4.034.,0.991.
-8.620.,0.991.
3.038.,0.991.
-0.945.,0.991.
-3.672.,0.991.
-6.488.,0.991.
1.210.,0.991.
-7.156.,0.991.
3.625.,0.991.
8.066.,0.991.
-5.815.,0.991.
9.434.,0.991.
-1.181.,0.991.
-2.790.,0.991.
5.627.,0.991.
5.164.,0.991.
1.226.,0.991.
-3.900.,0.991.
5.276.,0.991.
-3.976.,0.991.
8.801.,0.991.
-4.220.,0.991.
-4.460.,0.991.
8.802.,0.991.
8.859.,0.991.
4.142.,0.991.
4.291.,0.991.
-2.246.,0.991.
9.442.,0.991.
5.321.,0.991.
-6.932.,0.991.
1.139.,0.991.
0.220.,0.991.
-8.680.,0.991.
8.978.,0.991.
-7.501.,0.991.
-6.538.,0.991.
-2.359.,0.991.
-0.870.,0.991.
3.293.,0.991.
-1.437.,0.991.
-5.904.,0.991.
9.689.,0.991.
-2.828.,0.991.
5.877.,0.991.
4.290.,0.991.
6.628.,0.991.
4.196.,0.991.
1.226.,0.991.
-0.459.,0.991.
3.167.,0.991.
1.635.,0.991.
0.862.,0.991.
-3.801.,0.991.
-2.171.,0.991.
-7.852.,0.991.
-5.539.,0.991.
-1.628.,0.991.
-8.526.,0.991.
-2.310.,0.991.
3.805.,0.991.
-1.380.,0.991.
9.402.,0.991.
-1.029.,0.991.
2.225.,0.991.
3.766.,0.991.
5.198.,0.991.
9.935.,0.993.
-3.698.,0.993.
7.521.,0.993.
9.862.,0.993.
7.431.,0.993.
1.255.,0.993.
8.600.,0.993.
-3.038.,0.993.
-6.659.,0.993.
4.246.,0.993.
4.274.,0.993.
-0.649.,0.993.
5.467.,0.993.
-1.156.,0.993.
-0.250.,0.993.
4.292.,0.993.
-6.632.,0.993.
-5.475.,0.993.
-2.746.,0.993.
-6.192.,0.993.
-5.392.,0.993.
-7.875.,0.993.
9.560.,0.993.
2.963.,0.993.
8.959.,0.993.
8.654.,0.993.
8.636.,0.993.
-9.110.,0.993.
-8.828.,0.993.
0.932.,0.993.
-4.857.,0.993.
-2.539.,0.993.
-8.900.,0.993.
-7.964.,0.993.
2.667.,0.993.
6.657.,0.993.
-6.287.,0.993.
-5.826.,0.993.
-6.514.,0.993.
-7.685.,0.993.
-2.480.,0.993.
4.553.,0.993.
-7.533.,0.993.
-3.067.,0.993.
4.396.,0.993.
-7.021.,0.993.
8.769.,0.993.
-2.171.,0.993.
-2.883.,0.993.
-7.056.,0.993.
6.263.,0.993.
-7.237.,0.993.
4.683.,0.993.
-8.597.,0.993.
8.311.,0.993.
4.063.,0.993.
5.536.,0.993.
4.659.,0.993.
3.689.,0.993.
-4.556.,0.993.
-6.789.,0.993.
7.303.,0.993.
-3.864.,0.993.
-1.418.,0.993.
-0.889.,0.993.
-2.685.,0.993.
3.268.,0.993.
-7.412.,0.993.
-5.830.,0.993.
2.119.,0.993.
-0.009.,0.993.
6.611.,0.993.
6.525.,0.993.
-2.742.,0.993.
6.937.,0.993.
3.642.,0.993.
4.490.,0.993.
-7.061.,0.993.
9.764.,0.993.
-1.662.,0.993.
1.347.,0.993.
-8.197.,0.993.
-9.728.,0.993.
2.757.,0.993.
-0.582.,0.993.
-8.405.,0.993.
-3.352.,0.993.
0.608.,0.993.
6.122.,0.993.
-6.678.,0.993.
2.563.,0.993.
2.288.,0.993.
3.627.,0.993.
9.888.,0.993.
6.988.,0.993.
7.160.,0.993.
1.763.,0.993.
8.636.,0.993.
8.530.,0.993.
2.448.,0.993.
1.848.,0.993.
-1.261.,0.993.
2.909.,0.993.
-3.386.,0.993.
7.099.,0.993.
-3.820.,0.993.
-5.763.,0.993.
-2.391.,0.993.
7.355.,0.993.
-4.430.,0.993.
4.547.,0.993.
0.247.,0.993.
-6.361.,0.993.
3.205.,0.993.
4.279.,0.993.
-8.950.,0.993.
3.702.,0.993.
