# x,p
9.531.,9.531.
6.575.,4.657.
5.959.,4.596.
3.984.,4.398.
3.584.,4.358.
7.139.,4.358.
8.202.,4.358.
-2.554.,3.745.
7.692.,3.745.
-1.842.,3.745.
-0.090.,3.745.
-8.340.,3.166.
9.035.,3.166.
-0.759.,3.166.
-1.686.,3.166.
7.037.,3.166.
7.546.,3.166.
4.240.,3.166.
-7.188.,3.166.
-6.779.,3.166.
2.999.,3.166.
6.437.,3.166.
-4.397.,3.166.
-7.977.,3.166.
-7.999.,3.166.
-3.419.,3.166.
-9.990.,3.001.
-4.210.,3.001.
-7.712.,3.001.
-6.718.,3.001.
3.221.,3.001.
-0.954.,3.001.
0.370.,3.001.
1.362.,3.001.
-1.212.,3.001.
-0.795.,3.001.
4.790.,3.001.
-8.711.,3.001.
4.346.,3.001.
6.845.,3.001.
-8.370.,3.001.
3.152.,3.001.
-0.211.,3.001.
-9.900.,3.001.
-5.927.,3.001.
0.736.,3.001.
-2.793.,3.001.
3.536.,3.001.
8.639.,3.001.
1.450.,3.001.
-0.356.,3.001.
4.560.,3.001.
-5.127.,3.001.
-4.961.,3.001.
4.620.,3.001.
2.782.,3.001.
-4.919.,3.001.
3.307.,3.001.
3.480.,3.001.
-5.203.,3.001.
4.970.,3.001.
-8.654.,3.001.
7.161.,3.001.
-2.084.,3.001.
-5.666.,3.001.
-8.009.,3.001.
-1.769.,3.001.
-7.899.,3.001.
-2.998.,3.001.
-5.567.,3.001.
-7.974.,3.001.
2.818.,3.001.
2.190.,3.001.
-9.555.,3.001.
9.561.,3.001.
-3.913.,3.001.
7.172.,3.001.
4.969.,3.001.
-1.386.,3.001.
6.960.,3.001.
-2.295.,3.001.
-2.015.,3.001.
5.534.,3.001.
-6.262.,3.001.
2.130.,3.001.
-8.402.,3.001.
-7.447.,3.001.
-7.961.,3.001.
-7.972.,3.001.
1.239.,3.001.
1.042.,3.001.
9.250.,3.001.
-9.624.,3.001.
1.288.,3.001.
-7.563.,3.001.
-6.916.,3.001.
2.026.,3.001.
6.712.,3.001.
5.469.,3.001.
0.198.,3.001.
7.010.,3.001.
-8.855.,3.001.
0.291.,3.001.
1.856.,3.001.
-1.133.,3.001.
1.212.,3.001.
-6.759.,3.001.
-6.055.,3.001.
-2.858.,3.001.
-5.882.,3.001.
-2.527.,3.001.
-7.040.,3.001.
3.275.,3.001.
-8.522.,3.001.
6.991.,3.001.
1.016.,3.001.
9.282.,3.001.
1.811.,3.001.
4.864.,3.001.
-3.168.,3.001.
-1.750.,3.001.
5.158.,3.001.
-2.893.,3.001.
-9.812.,3.001.
-1.897.,3.001.
-3.358.,3.001.
6.483.,3.001.
6.258.,3.001.
-7.710.,3.001.
5.925.,3.001.
-6.382.,3.001.
-7.111.,3.001.
-4.077.,3.001.
-8.036.,3.001.
-0.466.,3.001.
9.725.,3.001.
4.267.,3.001.
-6.524.,3.001.
8.057.,3.001.
6.939.,3.001.
-5.822.,3.001.
-3.678.,3.001.
-2.188.,3.001.
-6.537.,3.001.
-4.601.,3.001.
-8.548.,3.001.
-7.561.,3.001.
-6.587.,3.001.
7.394.,3.001.
4.774.,3.001.
-7.913.,3.001.
9.022.,3.001.
-4.012.,3.001.
0.671.,3.001.
-7.695.,3.001.
6.188.,3.001.
-7.979.,3.001.
-0.626.,3.001.
1.490.,3.001.
-1.768.,3.001.
1.423.,3.001.
-0.875.,3.001.
3.302.,3.001.
-7.190.,3.001.
5.106.,3.001.
7.005.,3.001.
-1.497.,3.001.
-6.019.,3.001.
5.014.,3.001.
9.406.,3.001.
-4.443.,3.001.
5.461.,3.001.
5.873.,3.001.
5.747.,3.001.
-0.941.,3.001.
0.518.,3.001.
5.374.,3.001.
6.424.,3.001.
-7.161.,3.001.
7.725.,3.001.
-4.765.,3.001.
7.990.,3.001.
-4.227.,3.001.
-4.666.,3.001.
2.645.,3.001.
-3.250.,3.001.
2.073.,3.001.
-7.383.,3.001.
3.527.,3.001.
-1.651.,3.001.
6.374.,3.001.
4.650.,3.001.
6.351.,3.001.
1.908.,3.001.
5.587.,3.001.
-2.345.,3.001.
-4.647.,3.001.
7.458.,3.001.
-1.195.,3.001.
-0.798.,3.001.
-0.604.,3.001.
7.435.,3.001.
-7.956.,3.001.
-0.536.,3.001.
3.375.,3.001.
1.610.,3.001.
0.207.,3.001.
-9.179.,3.001.
-2.947.,3.001.
1.344.,3.001.
1.596.,3.001.
-4.742.,3.001.
9.520.,3.001.
0.782.,3.001.
-0.529.,3.001.
-8.253.,3.001.
-2.321.,3.001.
-0.805.,3.001.
-3.858.,3.001.
-3.196.,3.001.
7.424.,3.001.
3.975.,3.001.
-1.861.,3.001.
7.257.,3.001.
1.797.,3.001.
7.542.,3.001.
2.081.,3.001.
-1.309.,3.001.
-4.668.,3.001.
8.928.,3.001.
5.509.,3.001.
2.595.,3.001.
5.579.,3.001.
3.593.,3.001.
9.452.,3.001.
-3.297.,3.001.
3.243.,3.001.
3.095.,3.001.
-0.385.,3.001.
9.440.,3.001.
-1.712.,3.001.
1.557.,3.001.
-4.705.,3.001.
-7.497.,3.001.
5.779.,3.001.
-5.076.,3.001.
-4.457.,3.001.
-4.341.,3.001.
-9.133.,3.001.
-7.697.,3.001.
4.887.,3.001.
-1.431.,3.001.
2.543.,3.001.
-5.233.,3.001.
-6.257.,3.001.
-2.887.,3.001.
6.270.,3.001.
-8.985.,3.001.
-2.641.,3.001.
-1.628.,3.001.
1.966.,3.001.
-5.634.,3.001.
-0.382.,3.001.
0.541.,3.001.
3.634.,3.001.
9.744.,3.001.
-9.939.,3.001.
-8.957.,3.001.
0.810.,3.001.
-5.336.,3.001.
4.054.,3.001.
7.387.,3.001.
3.049.,3.001.
5.755.,3.001.
2.682.,3.001.
0.030.,3.001.
-5.421.,3.001.
-8.534.,3.001.
-5.932.,3.001.
-8.326.,3.001.
-2.652.,3.001.
-0.589.,3.001.
3.264.,3.001.
-6.555.,3.001.
-5.949.,3.001.
4.275.,3.001.
-3.804.,3.001.
-4.935.,3.001.
-3.570.,3.001.
-8.838.,3.001.
-9.413.,3.001.
-0.282.,3.001.
-5.284.,3.001.
9.488.,3.001.
0.317.,3.001.
6.466.,3.001.
-2.282.,3.001.
3.289.,3.001.
-2.610.,3.001.
0.168.,3.001.
3.970.,3.001.
0.307.,3.001.
5.278.,3.001.
4.996.,3.001.
-8.024.,3.001.
-4.026.,3.001.
-8.417.,3.001.
3.690.,3.001.
9.308.,3.001.
8.937.,3.001.
-9.394.,3.001.
-8.593.,3.001.
9.360.,3.001.
1.987.,3.001.
5.233.,3.001.
9.226.,3.001.
6.650.,3.001.
4.208.,3.001.
-0.864.,3.001.
4.314.,3.001.
4.036.,3.001.
8.272.,3.001.
2.761.,3.001.
-6.447.,3.001.
-6.206.,3.001.
-0.465.,3.001.
-3.128.,3.001.
6.184.,3.001.
5.321.,3.001.
3.901.,3.001.
4.590.,3.001.
4.153.,3.001.
8.466.,3.001.
-2.818.,3.001.
4.286.,3.001.
9.807.,3.001.
4.158.,3.001.
6.302.,3.001.
-4.654.,3.001.
-0.624.,3.001.
-7.390.,3.001.
-8.859.,3.001.
-4.658.,3.001.
2.099.,3.001.
4.663.,3.001.
-9.887.,3.001.
-9.863.,3.001.
-8.903.,3.001.
-7.190.,3.001.
8.742.,3.001.
1.969.,3.001.
3.664.,3.001.
4.474.,3.001.
5.974.,3.001.
3.867.,3.001.
0.815.,3.001.
5.313.,3.001.
-6.606.,3.001.
5.165.,3.001.
7.381.,3.001.
9.153.,3.001.
1.703.,3.001.
7.499.,3.001.
5.818.,3.001.
6.189.,3.001.
-8.343.,3.001.
2.397.,3.001.
-5.623.,3.001.
2.622.,3.001.
-2.989.,3.001.
3.455.,3.001.
5.854.,3.001.
9.044.,3.001.
8.087.,3.001.
-7.847.,3.001.
4.569.,3.001.
-3.238.,3.001.
-2.920.,3.001.
7.977.,3.001.
4.839.,3.001.
-0.863.,3.001.
-3.402.,3.001.
7.964.,3.001.
8.586.,3.001.
-1.479.,3.001.
-5.181.,3.001.
8.747.,3.001.
-1.669.,3.001.
0.203.,3.001.
-0.169.,3.001.
-0.630.,3.001.
8.879.,3.001.
8.085.,3.001.
6.555.,3.001.
-6.620.,3.001.
-2.226.,3.001.
4.984.,3.001.
2.996.,3.001.
2.836.,3.001.
8.164.,3.001.
-1.790.,3.001.
-4.566.,3.001.
8.479.,3.001.
7.695.,3.001.
-6.420.,3.001.
-1.643.,3.001.
-4.632.,3.001.
-3.721.,3.001.
-3.464.,3.001.
