# x,p
-0.697.,-0.697.
-6.499.,-0.650.
-9.040.,-0.650.
2.549.,0.255.
5.145.,0.515.
0.989.,0.515.
-9.569.,0.515.
4.078.,0.515.
0.514.,0.515.
-1.841.,0.515.
7.288.,0.729.
8.931.,0.893.
-6.971.,0.893.
7.643.,0.893.
-7.916.,0.893.
-5.386.,0.893.
5.338.,0.893.
0.692.,0.893.
7.273.,0.893.
-4.827.,0.893.
-2.121.,0.893.
4.795.,0.893.
-4.023.,0.893.
-3.715.,0.893.
1.473.,0.893.
8.426.,0.893.
-5.668.,0.893.
0.515.,0.893.
8.831.,0.893.
-2.444.,0.893.
4.436.,0.893.
6.868.,0.893.
-1.826.,0.893.
-5.461.,0.893.
-0.342.,0.893.
-7.029.,0.893.
9.523.,0.952.
5.991.,0.952.
7.100.,0.952.
0.518.,0.952.
6.465.,0.952.
3.789.,0.952.
9.477.,0.952.
-0.950.,0.952.
-5.010.,0.952.
-4.700.,0.952.
2.814.,0.952.
-6.152.,0.952.
-0.243.,0.952.
7.807.,0.952.
-1.864.,0.952.
-4.592.,0.952.
2.150.,0.952.
-8.334.,0.952.
-1.622.,0.952.
-8.371.,0.952.
-8.723.,0.952.
-0.255.,0.952.
-6.970.,0.952.
-7.008.,0.952.
-0.939.,0.952.
0.778.,0.952.
-5.981.,0.952.
1.361.,0.952.
-4.260.,0.952.
2.312.,0.952.
-3.059.,0.952.
-7.161.,0.952.
3.711.,0.952.
8.502.,0.952.
-0.740.,0.952.
-9.427.,0.952.
3.864.,0.952.
3.514.,0.952.
2.993.,0.952.
-0.515.,0.952.
-4.097.,0.952.
-9.250.,0.952.
5.135.,0.952.
-0.548.,0.952.
-9.822.,0.952.
-6.852.,0.952.
5.840.,0.952.
-1.297.,0.952.
4.833.,0.952.
6.817.,0.952.
7.534.,0.952.
9.487.,0.952.
-6.193.,0.952.
-7.968.,0.952.
-5.231.,0.952.
5.689.,0.952.
2.115.,0.952.
-1.870.,0.952.
-6.257.,0.952.
9.816.,0.982.
9.168.,0.982.
7.811.,0.982.
6.288.,0.982.
-9.790.,0.982.
-9.467.,0.982.
4.008.,0.982.
3.871.,0.982.
0.562.,0.982.
-3.242.,0.982.
7.881.,0.982.
0.276.,0.982.
-2.098.,0.982.
-0.458.,0.982.
-8.924.,0.982.
1.439.,0.982.
0.775.,0.982.
7.001.,0.982.
-3.670.,0.982.
-1.873.,0.982.
-4.053.,0.982.
-1.031.,0.982.
-0.077.,0.982.
-8.411.,0.982.
7.135.,0.982.
9.266.,0.982.
-6.223.,0.982.
-8.287.,0.982.
7.043.,0.982.
9.487.,0.982.
8.022.,0.982.
2.945.,0.982.
9.488.,0.982.
2.165.,0.982.
-3.647.,0.982.
-3.214.,0.982.
2.601.,0.982.
-7.328.,0.982.
-1.691.,0.982.
4.130.,0.982.
8.871.,0.982.
-7.773.,0.982.
4.157.,0.982.
-0.231.,0.982.
2.578.,0.982.
5.482.,0.982.
2.273.,0.982.
