# x,p
5.496,5.496
-4.927,5.073
9.447,9.447
9.308,9.447
-1.564,8.436
-0.640,8.436
7.465,8.436
-3.491,6.509
1.855,6.509
-5.745,4.255
6.438,6.438
-6.180,3.820
-9.703,0.297
1.876,1.876
-2.607,1.876
5.260,5.260
-8.089,1.911
-5.442,1.911
6.413,6.413
8.363,8.363
9.996,9.996
-6.622,3.378
5.841,5.841
-8.503,1.497
1.361,1.497
4.309,4.309
4.729,4.729
-4.782,4.729
6.819,6.819
6.924,6.924
-0.640,6.924
4.997,6.924
5.994,6.924
4.716,6.924
-5.762,4.238
7.739,7.739
-2.941,7.059
4.622,7.059
-8.556,1.444
5.632,5.632
-9.168,0.832
2.875,2.875
-0.056,2.875
5.709,5.709
-1.349,5.709
-3.302,5.709
9.023,9.023
9.018,9.023
4.063,9.023
9.756,9.756
9.052,9.756
3.434,9.756
-5.482,4.518
-3.414,4.518
8.243,8.243
-5.415,4.585
0.305,4.585
-6.836,3.164
4.850,4.850
-5.011,4.850
4.802,4.850
1.163,4.850
7.195,7.195
-8.902,1.098
9.364,9.364
6.160,9.364
3.302,9.364
-3.781,6.219
0.498,6.219
-9.083,0.917
-8.956,0.917
-9.581,0.419
5.205,5.205
9.321,9.321
4.091,9.321
6.916,9.321
5.801,9.321
9.882,9.882
-9.591,0.409
-6.163,0.409
5.456,5.456
8.507,8.507
7.328,8.507
-4.189,5.811
-7.841,2.159
-0.985,2.159
-6.224,2.159
-7.905,2.095
0.536,2.095
0.304,2.095
4.334,4.334
6.440,6.440
0.218,6.440
-9.502,0.498
0.176,0.498
7.899,7.899
1.451,7.899
-2.633,7.367
2.126,7.367
-1.641,7.367
