# x,p
-2.692,-1.577
-8.724,-19.673
1.397,4.192
5.563,16.689
6.444,19.332
3.843,18.029
5.670,18.029
1.682,11.546
-8.494,-18.983
0.185,0.555
6.701,20.102
6.235,20.102
8.436,25.309
5.501,23.004
6.376,23.004
-3.441,-3.822
-2.265,-3.822
-4.305,-6.416
0.563,1.690
5.483,16.450
-0.782,4.153
7.250,21.751
0.751,8.754
-1.845,0.965
9.141,27.424
-7.486,-15.957
-9.414,-21.743
8.543,25.629
7.782,25.629
1.097,9.792
-6.290,-12.369
7.761,23.283
4.575,20.226
-0.571,4.787
1.343,4.787
-1.734,1.297
9.602,28.806
9.305,28.806
-8.757,-19.770
9.685,29.055
6.115,24.845
6.828,24.845
-6.694,-13.581
-7.715,-16.645
0.414,1.243
-1.517,1.243
8.310,24.929
-8.146,-17.939
4.768,14.303
0.802,8.905
-5.919,-11.256
-5.141,-11.256
-4.832,-11.256
-2.738,-8.215
6.874,20.622
2.038,12.613
-1.785,1.145
-5.314,-9.441
-0.572,-1.715
-6.234,-12.203
1.258,3.773
0.409,3.773
8.919,26.758
-8.546,-19.138
-6.615,-19.138
-0.584,-1.751
-2.315,-1.751
-6.672,-13.515
-5.466,-13.515
6.303,18.910
-2.864,-2.092
1.974,5.922
-2.725,-1.674
-9.498,-21.993
0.965,2.895
-4.171,-6.012
-5.090,-8.769
7.958,23.873
-6.633,-13.398
-4.387,-13.161
-0.822,-2.465
1.938,5.815
-8.209,-18.127
5.497,16.492
5.237,16.492
1.753,11.759
5.220,15.661
-0.733,4.302
2.800,8.400
-0.419,5.244
-6.217,-12.152
5.136,15.409
-6.537,-13.112
-7.474,-15.921
-6.463,-15.921
-2.746,-8.239
-0.906,-2.718
6.956,20.867
0.684,8.551
7.628,22.885
