# x,p
0.965.,0.965.
9.942.,0.994.
-0.853.,0.994.
-1.327.,0.994.
-3.476.,0.994.
5.571.,0.994.
2.547.,0.994.
6.832.,0.994.
-4.688.,0.994.
9.662.,0.994.
-1.433.,0.994.
2.526.,0.994.
5.053.,0.994.
-1.311.,0.994.
4.199.,0.994.
1.845.,0.994.
-7.322.,0.994.
0.709.,0.994.
-5.096.,0.994.
-5.696.,0.994.
1.387.,0.994.
5.371.,0.994.
6.986.,0.994.
4.445.,0.994.
-8.894.,0.994.
-8.954.,0.994.
-3.715.,0.994.
-7.203.,0.994.
8.592.,0.994.
-5.647.,0.994.
5.437.,0.994.
7.588.,0.994.
-1.889.,0.994.
6.939.,0.994.
-0.078.,0.994.
2.203.,0.994.
0.807.,0.994.
-2.354.,0.994.
-4.395.,0.994.
-5.256.,0.994.
-5.824.,0.994.
8.590.,0.994.
-7.329.,0.994.
1.531.,0.994.
9.812.,0.994.
-8.077.,0.994.
-1.910.,0.994.
6.159.,0.994.
2.090.,0.994.
-3.043.,0.994.
-2.144.,0.994.
1.636.,0.994.
1.896.,0.994.
-2.955.,0.994.
-0.405.,0.994.
-6.038.,0.994.
2.473.,0.994.
-3.452.,0.994.
4.439.,0.994.
2.633.,0.994.
-0.459.,0.994.
-8.404.,0.994.
-2.049.,0.994.
-7.699.,0.994.
2.369.,0.994.
-1.658.,0.994.
3.275.,0.994.
7.512.,0.994.
2.779.,0.994.
-7.364.,0.994.
-6.726.,0.994.
4.230.,0.994.
8.032.,0.994.
1.674.,0.994.
-1.211.,0.994.
6.138.,0.994.
-8.819.,0.994.
-0.854.,0.994.
-6.293.,0.994.
5.766.,0.994.
-5.914.,0.994.
-5.682.,0.994.
0.550.,0.994.
1.756.,0.994.
-7.918.,0.994.
5.175.,0.994.
4.796.,0.994.
-2.394.,0.994.
2.971.,0.994.
-2.662.,0.994.
-6.491.,0.994.
0.710.,0.994.
1.685.,0.994.
-5.864.,0.994.
-8.267.,0.994.
-3.469.,0.994.
5.380.,0.994.
9.506.,0.994.
-4.879.,0.994.
5.452.,0.994.
0.383.,0.994.
6.606.,0.994.
2.263.,0.994.
-5.171.,0.994.
-5.758.,0.994.
5.254.,0.994.
1.137.,0.994.
3.488.,0.994.
7.026.,0.994.
0.982.,0.994.
6.662.,0.994.
9.338.,0.994.
8.565.,0.994.
-9.611.,0.994.
0.007.,0.994.
-3.723.,0.994.
0.373.,0.994.
-2.783.,0.994.
7.429.,0.994.
-1.178.,0.994.
3.944.,0.994.
5.766.,0.994.
3.731.,0.994.
6.893.,0.994.
-5.699.,0.994.
1.980.,0.994.
5.760.,0.994.
0.481.,0.994.
-6.245.,0.994.
-2.864.,0.994.
-6.375.,0.994.
3.595.,0.994.
1.528.,0.994.
5.964.,0.994.
5.852.,0.994.
6.626.,0.994.
2.985.,0.994.
-3.580.,0.994.
5.236.,0.994.
-7.038.,0.994.
6.849.,0.994.
1.190.,0.994.
3.064.,0.994.
9.334.,0.994.
3.184.,0.994.
-4.348.,0.994.
4.444.,0.994.
5.045.,0.994.
-9.389.,0.994.
8.446.,0.994.
-1.007.,0.994.
4.342.,0.994.
-6.018.,0.994.
7.255.,0.994.
1.589.,0.994.
-2.593.,0.994.
-3.109.,0.994.
9.456.,0.994.
2.011.,0.994.
-5.892.,0.994.
4.278.,0.994.
-5.569.,0.994.
-1.219.,0.994.
-4.900.,0.994.
7.396.,0.994.
4.963.,0.994.
-9.903.,0.994.
3.609.,0.994.
8.239.,0.994.
9.714.,0.994.
-7.701.,0.994.
4.266.,0.994.
6.317.,0.994.
8.272.,0.994.
-4.262.,0.994.
