# x,p
-7.230.,-7.230.
-7.225.,-0.723.
0.152.,0.015.
7.350.,0.735.
-7.450.,0.735.
7.845.,0.785.
7.368.,0.785.
-1.612.,0.785.
-6.190.,0.785.
7.376.,0.785.
5.643.,0.785.
-7.674.,0.785.
1.591.,0.785.
0.127.,0.785.
1.286.,0.785.
-9.313.,0.785.
6.402.,0.785.
-1.602.,0.785.
5.073.,0.785.
8.895.,0.889.
-8.835.,0.889.
-6.990.,0.889.
-8.794.,0.889.
1.771.,0.889.
4.149.,0.889.
-1.409.,0.889.
7.113.,0.889.
-4.532.,0.889.
4.621.,0.889.
3.101.,0.889.
-7.355.,0.889.
1.857.,0.889.
0.738.,0.889.
-1.307.,0.889.
-8.103.,0.889.
-8.507.,0.889.
2.575.,0.889.
-7.636.,0.889.
0.130.,0.889.
-8.209.,0.889.
-7.367.,0.889.
-1.768.,0.889.
0.051.,0.889.
4.008.,0.889.
4.557.,0.889.
-5.574.,0.889.
2.667.,0.889.
1.893.,0.889.
2.041.,0.889.
7.549.,0.889.
-7.520.,0.889.
6.947.,0.889.
6.948.,0.889.
8.454.,0.889.
3.558.,0.889.
7.041.,0.889.
1.154.,0.889.
-2.473.,0.889.
4.074.,0.889.
-6.177.,0.889.
3.882.,0.889.
-0.260.,0.889.
6.434.,0.889.
6.970.,0.889.
-8.864.,0.889.
-4.398.,0.889.
-1.311.,0.889.
8.786.,0.889.
-0.987.,0.889.
6.653.,0.889.
-2.365.,0.889.
-0.998.,0.889.
-0.693.,0.889.
8.659.,0.889.
0.422.,0.889.
0.892.,0.889.
-6.641.,0.889.
-5.581.,0.889.
-6.116.,0.889.
-2.285.,0.889.
-9.853.,0.889.
-1.476.,0.889.
-1.981.,0.889.
7.238.,0.889.
5.476.,0.889.
6.676.,0.889.
-8.438.,0.889.
-3.138.,0.889.
-1.845.,0.889.
-5.261.,0.889.
5.583.,0.889.
-9.521.,0.889.
9.523.,0.952.
-3.754.,0.952.
-3.426.,0.952.
-9.962.,0.952.
-0.235.,0.952.
-8.174.,0.952.
-8.715.,0.952.
5.951.,0.952.
-8.976.,0.952.
-6.414.,0.952.
0.664.,0.952.
9.714.,0.971.
-8.750.,0.971.
9.546.,0.971.
3.386.,0.971.
6.473.,0.971.
1.093.,0.971.
-1.721.,0.971.
6.661.,0.971.
-5.969.,0.971.
-5.736.,0.971.
4.030.,0.971.
-4.717.,0.971.
-5.903.,0.971.
-3.377.,0.971.
1.252.,0.971.
-0.702.,0.971.
2.636.,0.971.
-4.973.,0.971.
2.005.,0.971.
-1.639.,0.971.
-5.431.,0.971.
2.259.,0.971.
-5.629.,0.971.
-3.385.,0.971.
6.688.,0.971.
-7.543.,0.971.
0.233.,0.971.
-5.106.,0.971.
4.673.,0.971.
2.645.,0.971.
-3.282.,0.971.
-4.484.,0.971.
8.885.,0.971.
-0.479.,0.971.
0.593.,0.971.
3.168.,0.971.
3.891.,0.971.
8.295.,0.971.
7.709.,0.971.
6.328.,0.971.
9.518.,0.971.
-7.137.,0.971.
-0.313.,0.971.
-4.335.,0.971.
-8.226.,0.971.
3.897.,0.971.
-7.862.,0.971.
-0.112.,0.971.
-1.195.,0.971.
0.008.,0.971.
3.214.,0.971.
-8.732.,0.971.
-7.183.,0.971.
-3.829.,0.971.
5.356.,0.971.
-0.210.,0.971.
2.847.,0.971.
-5.434.,0.971.
6.629.,0.971.
3.373.,0.971.
-8.444.,0.971.
0.547.,0.971.
9.896.,0.990.
-6.273.,0.990.
3.654.,0.990.
-3.626.,0.990.
0.165.,0.990.
4.702.,0.990.
3.012.,0.990.
2.483.,0.990.
6.439.,0.990.
-2.769.,0.990.
-5.577.,0.990.
-5.646.,0.990.
-4.140.,0.990.
-3.623.,0.990.
-5.931.,0.990.
8.642.,0.990.
-5.102.,0.990.
-4.867.,0.990.
2.647.,0.990.
-9.796.,0.990.
2.988.,0.990.
9.160.,0.990.
-5.838.,0.990.
9.604.,0.990.
3.527.,0.990.
-3.439.,0.990.
-4.262.,0.990.
8.176.,0.990.
4.525.,0.990.
3.270.,0.990.
5.510.,0.990.
8.548.,0.990.
5.675.,0.990.
6.913.,0.990.
-9.212.,0.990.
3.485.,0.990.
-2.441.,0.990.
2.739.,0.990.
-2.430.,0.990.
-4.341.,0.990.
-0.525.,0.990.
-7.818.,0.990.
8.101.,0.990.
-5.070.,0.990.
-2.561.,0.990.
5.108.,0.990.
3.320.,0.990.
-4.824.,0.990.
-6.060.,0.990.
6.125.,0.990.
-1.688.,0.990.
-4.096.,0.990.
-7.661.,0.990.
6.840.,0.990.
-6.415.,0.990.
-9.061.,0.990.
-2.300.,0.990.
-1.785.,0.990.
2.868.,0.990.
6.023.,0.990.
7.452.,0.990.
6.422.,0.990.
8.585.,0.990.
-9.468.,0.990.
-6.862.,0.990.
-2.244.,0.990.
-0.894.,0.990.
0.737.,0.990.
7.504.,0.990.
2.349.,0.990.
4.871.,0.990.
2.974.,0.990.
9.686.,0.990.
4.284.,0.990.
3.311.,0.990.
6.434.,0.990.
3.700.,0.990.
-4.210.,0.990.
-4.159.,0.990.
-0.358.,0.990.
8.832.,0.990.
-8.819.,0.990.
-9.736.,0.990.
-3.078.,0.990.
6.516.,0.990.
6.618.,0.990.
9.152.,0.990.
9.201.,0.990.
-0.722.,0.990.
6.490.,0.990.
-6.755.,0.990.
3.940.,0.990.
-2.090.,0.990.
6.380.,0.990.
9.783.,0.990.
5.536.,0.990.
-3.978.,0.990.
6.575.,0.990.
-5.380.,0.990.
-8.523.,0.990.
-0.351.,0.990.
7.658.,0.990.
-1.090.,0.990.
2.820.,0.990.
6.957.,0.990.
0.725.,0.990.
9.292.,0.990.
-5.260.,0.990.
7.258.,0.990.
-4.022.,0.990.
-2.964.,0.990.
-8.474.,0.990.
-9.749.,0.990.
-2.066.,0.990.
-0.225.,0.990.
-9.732.,0.990.
8.324.,0.990.
-5.996.,0.990.
-7.932.,0.990.
1.301.,0.990.
7.516.,0.990.
-0.645.,0.990.
-1.920.,0.990.
-9.662.,0.990.
-8.366.,0.990.
-2.939.,0.990.
9.260.,0.990.
-7.562.,0.990.
5.482.,0.990.
0.610.,0.990.
-9.652.,0.990.
-5.993.,0.990.
-9.172.,0.990.
2.978.,0.990.
-8.432.,0.990.
2.567.,0.990.
-3.462.,0.990.
-2.137.,0.990.
-2.279.,0.990.
-1.627.,0.990.
9.736.,0.990.
8.223.,0.990.
3.078.,0.990.
-0.047.,0.990.
-8.420.,0.990.
-7.451.,0.990.
-9.773.,0.990.
2.247.,0.990.
9.671.,0.990.
3.757.,0.990.
5.380.,0.990.
-5.323.,0.990.
8.514.,0.990.
3.149.,0.990.
4.069.,0.990.
-3.750.,0.990.
3.790.,0.990.
0.156.,0.990.
7.465.,0.990.
1.934.,0.990.
8.742.,0.990.
