# x,p
2.346.,2.346.
-6.715.,-1.215.
-6.114.,-1.215.
-9.582.,-4.082.
2.998.,2.998.
-9.795.,-4.295.
7.272.,7.272.
-5.716.,-0.216.
5.619.,5.619.
-0.261.,5.239.
-1.773.,3.727.
0.092.,3.727.
0.720.,3.727.
1.927.,3.727.
0.786.,3.727.
-3.201.,2.299.
1.097.,2.299.
6.465.,6.465.
0.714.,6.214.
2.849.,6.214.
6.518.,6.518.
2.539.,6.518.
2.214.,6.518.
-3.541.,1.959.
-1.614.,1.959.
-2.808.,1.959.
8.460.,8.460.
8.232.,8.460.
4.349.,8.460.
9.041.,9.041.
-6.870.,-1.370.
1.788.,1.788.
7.350.,7.350.
-4.229.,1.271.
1.511.,1.511.
-8.144.,-2.644.
9.402.,9.402.
7.559.,9.402.
7.209.,9.402.
-9.062.,-3.562.
-1.979.,-1.979.
8.185.,8.185.
-3.169.,2.331.
-8.119.,-2.619.
9.909.,9.909.
-4.341.,1.159.
7.666.,7.666.
-1.000.,4.500.
9.221.,9.221.
7.187.,9.221.
-9.439.,-3.939.
7.234.,7.234.
4.701.,7.234.
-7.731.,-2.231.
8.893.,8.893.
-1.846.,3.654.
0.860.,3.654.
3.203.,3.654.
-2.804.,2.696.
9.703.,9.703.
3.764.,9.264.
3.502.,9.002.
-0.311.,5.189.
0.755.,5.189.
2.949.,5.189.
5.020.,5.189.
-2.116.,3.384.
0.117.,3.384.
9.901.,9.901.
-7.652.,-2.152.
8.467.,8.467.
-2.166.,3.334.
-8.461.,-2.961.
2.156.,2.156.
-4.842.,0.658.
-7.819.,-2.319.
-5.215.,-2.319.
9.760.,9.760.
8.857.,9.760.
-3.799.,1.701.
-3.007.,1.701.
-4.025.,1.475.
-9.531.,-4.031.
3.809.,3.809.
-6.814.,-1.314.
9.005.,9.005.
3.554.,9.005.
-5.047.,0.453.
-4.337.,0.453.
-7.324.,-1.824.
5.862.,5.862.
8.452.,8.452.
7.549.,8.452.
8.542.,8.542.
3.898.,8.542.
-6.437.,-0.937.
8.939.,8.939.
3.191.,8.691.
3.949.,8.691.
-4.187.,1.313.
-9.799.,-4.299.
-4.662.,-4.299.
9.052.,9.052.
-0.195.,5.305.
-3.086.,2.414.
-9.324.,-3.824.
6.228.,6.228.
8.567.,8.567.
-3.485.,2.015.
-6.839.,-1.339.
-7.854.,-2.354.
5.252.,5.252.
7.901.,7.901.
-6.740.,-1.240.
7.633.,7.633.
-4.234.,1.266.
0.146.,1.266.
-3.246.,1.266.
1.503.,1.503.
5.883.,5.883.
-7.880.,-2.380.
-0.008.,-0.008.
-0.991.,-0.008.
6.202.,6.202.
-8.550.,-3.050.
-7.645.,-3.050.
-5.305.,-3.050.
5.534.,5.534.
-1.178.,4.322.
4.655.,4.655.
-7.820.,-2.320.
4.717.,4.717.
4.093.,4.717.
-9.562.,-4.062.
8.968.,8.968.
-3.060.,2.440.
-7.834.,-2.334.
-7.877.,-2.377.
-4.301.,-2.377.
8.005.,8.005.
8.449.,8.449.
0.594.,6.094.
5.077.,6.094.
-0.932.,4.568.
-9.688.,-4.188.
1.245.,1.245.
-3.644.,1.245.
3.366.,3.366.
-7.446.,-1.946.
-9.535.,-4.035.
-1.093.,-1.093.
3.076.,3.076.
-7.405.,-1.905.
-8.227.,-2.727.
-2.053.,-2.053.
-5.400.,-2.053.
-5.786.,-2.053.
-3.278.,-2.053.
-1.515.,-1.515.
-5.462.,-1.515.
3.759.,3.759.
-8.122.,-2.622.
6.400.,6.400.
-2.849.,2.651.
6.343.,6.343.
5.698.,6.343.
2.835.,6.343.
1.160.,6.343.
