# x,p
2.881.,2.881.
-6.164.,-5.329.
-6.828.,-6.656.
-5.396.,-6.656.
-4.545.,-6.656.
5.988.,11.976.
4.115.,11.976.
-5.217.,-3.433.
-7.495.,-7.989.
3.693.,7.387.
3.126.,7.387.
9.855.,19.711.
-2.700.,1.600.
-0.259.,1.600.
-5.794.,-4.589.
-2.537.,-4.589.
2.804.,5.608.
-4.528.,-2.055.
-6.723.,-6.446.
8.822.,17.644.
-1.565.,3.871.
6.520.,13.041.
7.282.,14.565.
-5.213.,-3.426.
-0.925.,-1.851.
-0.885.,-1.771.
7.238.,14.476.
7.869.,15.738.
-0.023.,6.953.
5.817.,11.634.
5.375.,11.634.
-4.482.,-1.963.
7.485.,14.969.
5.499.,14.969.
8.752.,17.504.
8.755.,17.511.
1.133.,9.265.
-6.882.,-6.764.
2.203.,4.406.
-2.912.,1.176.
8.812.,17.625.
-5.527.,-4.054.
-8.663.,-10.327.
-4.503.,-9.006.
1.084.,2.169.
-0.853.,2.169.
-9.768.,-12.537.
5.662.,11.324.
6.615.,13.230.
-2.297.,2.405.
-0.857.,2.405.
-8.184.,-9.367.
6.249.,12.497.
4.262.,12.497.
1.311.,9.623.
-9.981.,-12.962.
8.773.,17.546.
9.275.,18.551.
-4.718.,-2.436.
-2.080.,-2.436.
-0.769.,-1.537.
5.414.,10.827.
-6.653.,-6.305.
7.772.,15.544.
6.243.,15.544.
2.240.,11.481.
3.975.,11.481.
9.100.,18.199.
2.266.,11.533.
0.665.,8.329.
-5.167.,-3.333.
-1.474.,-2.947.
-0.251.,-0.501.
8.419.,16.837.
1.704.,10.409.
3.645.,10.409.
4.317.,10.409.
-2.911.,1.178.
-1.922.,1.178.
-8.452.,-9.903.
0.031.,0.062.
-6.996.,-6.992.
8.935.,17.870.
-0.182.,6.635.
0.436.,6.635.
4.927.,9.854.
-2.985.,1.030.
-3.716.,-0.433.
2.284.,4.568.
3.156.,6.312.
-9.021.,-11.043.
1.511.,3.021.
9.782.,19.564.
8.426.,19.564.
-0.675.,5.649.
4.477.,8.954.
-1.326.,4.349.
3.916.,7.832.
7.243.,14.486.
5.675.,14.486.
2.223.,11.446.
6.051.,12.103.
-3.290.,0.421.
1.295.,2.590.
-4.898.,-2.796.
-9.500.,-12.001.
-7.715.,-12.001.
-6.775.,-12.001.
8.111.,16.222.
-7.839.,-8.678.
-1.508.,-3.016.
-7.191.,-7.382.
3.515.,7.029.
-3.510.,-0.019.
5.899.,11.798.
8.208.,16.417.
7.964.,16.417.
-1.913.,3.174.
-7.738.,-8.476.
-6.233.,-8.476.
-2.317.,-4.634.
-5.994.,-4.988.
3.555.,7.110.
-3.481.,0.038.
9.928.,19.856.
9.548.,19.856.
9.801.,19.856.
1.958.,10.916.
0.876.,8.752.
7.579.,15.157.
-3.248.,0.503.
4.967.,9.935.
-9.882.,-12.763.
-9.279.,-12.763.
7.358.,14.716.
-2.851.,1.298.
9.576.,19.152.
-6.672.,-6.343.
1.946.,3.892.
0.441.,3.892.
-9.520.,-12.040.
-3.515.,-7.031.
-7.612.,-8.224.
0.140.,0.280.
4.146.,8.293.
-7.885.,-8.769.
7.632.,15.263.
-1.691.,3.619.
3.958.,7.916.
2.437.,7.916.
-6.202.,-5.403.
-5.850.,-5.403.
7.006.,14.013.
-0.516.,5.968.
-9.173.,-11.346.
8.906.,17.812.
8.726.,17.812.
-5.661.,-4.322.
-0.844.,-1.688.
-0.410.,-0.821.
-3.126.,-0.821.
6.915.,13.831.
-4.701.,-2.402.
5.561.,11.123.
6.079.,12.157.
6.838.,13.677.
7.812.,15.625.
-3.667.,-0.333.
-4.114.,-1.228.
3.711.,7.422.
9.174.,18.348.
-8.253.,-9.507.
-3.874.,-7.748.
-2.547.,-5.094.
-6.828.,-6.656.
-0.290.,-0.581.
4.390.,8.781.
0.148.,7.296.
-8.895.,-10.789.
7.387.,14.775.
-0.278.,6.443.
7.362.,14.724.
6.884.,14.724.
4.872.,14.724.
9.106.,18.212.
-6.224.,-5.447.
0.478.,0.956.
-8.914.,-10.829.
-6.395.,-10.829.
-8.479.,-10.829.
9.640.,19.280.
-2.054.,2.892.
-4.845.,-2.690.
9.478.,18.957.
9.260.,18.957.
-9.348.,-11.696.
7.911.,15.822.
1.659.,10.317.
-2.723.,1.553.
6.184.,12.368.
-1.476.,4.047.
-6.738.,-6.476.
-2.097.,-4.195.
3.883.,7.766.
5.964.,11.928.
-6.198.,-5.396.
-4.917.,-5.396.
5.732.,11.464.
-9.481.,-11.961.
-2.369.,-4.739.
4.070.,8.140.
7.696.,15.391.
6.582.,15.391.
-5.173.,-3.346.
0.584.,1.168.
7.339.,14.677.
-6.894.,-6.788.
-5.891.,-6.788.
7.412.,14.825.
-2.007.,2.986.
-1.541.,2.986.
2.997.,5.994.
-7.166.,-7.332.
-6.746.,-7.332.
-9.379.,-11.758.
4.308.,8.616.
-8.822.,-10.643.
8.559.,17.118.
7.039.,17.118.
3.661.,14.322.
3.657.,14.313.
8.984.,17.969.
-3.588.,-0.176.
2.351.,4.702.
-1.167.,4.665.
-2.993.,1.015.
-3.147.,0.707.
1.236.,2.472.
-3.425.,0.150.
-7.092.,-7.184.
-2.729.,-5.459.
0.847.,1.693.
-1.335.,1.693.
4.847.,9.694.
9.733.,19.465.
6.326.,19.465.
-3.320.,0.360.
-6.209.,-5.417.
-7.778.,-8.556.
-6.149.,-8.556.
-9.116.,-11.231.
-7.640.,-11.231.
4.707.,9.414.
3.119.,9.414.
-0.809.,5.381.
0.978.,5.381.
-3.131.,0.737.
5.108.,10.216.
2.302.,10.216.
-4.544.,-2.088.
-7.167.,-7.334.
2.114.,4.227.
0.712.,4.227.
2.122.,4.244.
4.116.,8.232.
-0.477.,6.046.
-7.934.,-8.868.
-5.517.,-8.868.
5.742.,11.483.
1.453.,9.907.
4.473.,9.907.
-4.373.,-1.745.
9.179.,18.358.
-8.722.,-10.444.
8.564.,17.129.
-9.231.,-11.461.
5.256.,10.512.
-8.771.,-10.542.
4.602.,9.204.
-8.946.,-10.892.
-9.897.,-12.793.
-0.164.,-0.327.
-3.245.,-0.327.
-2.809.,-0.327.
-3.892.,-0.785.
7.270.,14.541.
4.105.,14.541.
-7.364.,-7.728.
6.935.,13.870.
1.181.,9.362.
-0.646.,5.708.
4.702.,9.404.
7.385.,14.770.
-4.770.,-2.540.
6.225.,12.450.
1.707.,10.414.
-2.786.,1.427.
9.784.,19.567.
9.493.,19.567.
-8.143.,-9.285.
-7.399.,-9.285.
4.482.,8.965.
5.603.,11.205.
-8.769.,-10.538.
9.603.,19.206.
-8.488.,-9.977.
7.853.,15.706.
-2.022.,2.956.
-1.890.,2.956.
1.592.,3.184.
-3.347.,0.307.
8.153.,16.305.
1.279.,9.557.
-5.220.,-3.441.
-4.722.,-3.441.
-7.548.,-8.096.
7.786.,15.573.
-2.849.,1.302.
-0.710.,1.302.
-1.078.,1.302.
-4.752.,-2.504.
5.560.,11.120.
-5.871.,-4.742.
6.952.,13.904.
-0.839.,5.323.
7.034.,14.068.
-2.346.,2.308.
6.494.,12.987.
2.406.,11.812.
8.304.,16.608.
9.477.,18.955.
-7.905.,-8.811.
6.503.,13.005.
2.682.,12.365.
1.619.,10.237.
-4.959.,-2.918.
-0.318.,-0.637.
-6.662.,-6.324.
6.425.,12.849.
2.598.,12.197.
-5.904.,-4.809.
5.394.,10.787.
-7.320.,-7.640.
8.351.,16.703.
1.853.,10.706.
7.943.,15.886.
-4.860.,-2.719.
-7.394.,-7.789.
7.248.,14.496.
-4.690.,-2.379.
-1.361.,-2.379.
1.684.,3.369.
-8.359.,-9.718.
8.010.,16.019.
1.431.,9.863.
-7.552.,-8.104.
0.203.,0.406.
2.017.,4.034.
-3.658.,-0.316.
1.373.,2.745.
-6.765.,-6.531.
-9.706.,-12.411.
4.548.,9.097.
-4.619.,-2.238.
-4.782.,-2.565.
-1.663.,-2.565.
9.586.,19.172.
-8.231.,-9.462.
8.653.,17.306.
0.069.,7.139.
-1.615.,3.770.
5.024.,10.047.
0.741.,8.481.
-8.749.,-10.498.
-3.339.,-6.678.
7.139.,14.278.
6.353.,14.278.
-1.749.,3.503.
-9.458.,-11.916.
-8.736.,-11.916.
8.412.,16.824.
5.372.,16.824.
-0.046.,6.909.
-8.832.,-10.664.
-5.973.,-10.664.
1.646.,3.293.
-2.864.,1.272.
0.699.,1.397.
-2.780.,1.397.
1.040.,2.080.
-0.122.,2.080.
-7.724.,-8.447.
5.665.,11.330.
8.254.,16.508.
-2.283.,2.434.
3.751.,7.501.
3.475.,7.501.
-3.072.,0.855.
-9.751.,-12.502.
-9.336.,-12.502.
-6.835.,-12.502.
-8.577.,-12.502.
6.878.,13.756.
-5.519.,-4.039.
5.157.,10.314.
-1.595.,3.810.
6.252.,12.505.
8.607.,17.214.
-8.274.,-9.548.
7.644.,15.287.
-5.520.,-4.039.
4.817.,9.635.
5.411.,10.823.
9.591.,19.183.
-0.115.,6.770.
-6.636.,-6.273.
5.390.,10.780.
-6.031.,-5.062.
-9.160.,-11.320.
-8.850.,-11.320.
-2.071.,-4.141.
6.352.,12.705.
-7.065.,-7.129.
-7.015.,-7.129.
-8.746.,-10.492.
7.536.,15.072.
-2.924.,1.153.
-1.337.,1.153.
2.569.,5.138.
8.773.,17.546.
-2.057.,2.887.
-6.165.,-5.330.
-7.291.,-7.583.
-5.723.,-7.583.
-3.180.,-6.359.
-7.539.,-8.079.
8.678.,17.357.
0.898.,8.795.
-4.506.,-2.011.
-4.667.,-2.334.
5.386.,10.772.
6.835.,13.669.
6.567.,13.669.
4.154.,13.669.
-3.159.,0.682.
5.602.,11.203.
2.536.,11.203.
-7.395.,-7.789.
3.750.,7.499.
-1.966.,3.068.
6.950.,13.899.
-2.563.,1.873.
-9.831.,-12.662.
8.776.,17.553.
-1.137.,4.726.
8.358.,16.716.
-5.318.,-3.635.
-1.238.,-2.476.
4.729.,9.457.
-7.045.,-7.090.
-1.206.,-2.411.
1.306.,2.613.
-7.659.,-8.319.
-5.710.,-8.319.
3.665.,7.329.
3.532.,7.329.
-9.560.,-12.120.
6.880.,13.759.
-6.672.,-6.343.
-5.930.,-6.343.
-3.047.,-6.094.
-8.594.,-10.187.
8.077.,16.155.
-6.272.,-5.545.
4.522.,9.044.
-4.284.,-1.568.
-8.367.,-9.733.
4.653.,9.307.
-3.669.,-0.338.
2.975.,5.951.
5.392.,10.784.
-1.015.,4.971.
-3.561.,-0.122.
-1.025.,-0.122.
9.818.,19.637.
-1.603.,3.794.
8.180.,16.360.
0.922.,8.844.
-6.339.,-5.679.
5.167.,10.334.
-0.197.,6.607.
4.410.,8.819.
4.791.,9.582.
0.358.,7.716.
2.550.,7.716.
-0.993.,5.015.
2.710.,5.420.
1.020.,5.420.
-7.163.,-7.327.
3.136.,6.272.
