# x,p
-0.000,0.000
-0.063,0.000
-0.127,0.000
-0.189,0.000
-0.251,-0.130
-0.312,-0.404
-0.372,-0.672
-0.430,-0.934
-0.486,-1.188
-0.541,-1.433
-0.593,-1.668
-0.643,-1.893
-0.690,-2.105
-0.735,-2.306
-0.776,-2.493
-0.815,-2.666
-0.850,-2.824
-0.881,-2.967
-0.910,-3.093
-0.934,-3.204
-0.955,-3.297
-0.972,-3.373
-0.985,-3.432
-0.994,-3.472
-0.999,-3.495
-1.000,-3.499
-0.997,-3.499
-0.990,-3.499
-0.979,-3.499
-0.964,-3.499
-0.945,-3.499
-0.922,-3.499
-0.896,-3.499
-0.866,-3.499
-0.833,-3.499
-0.796,-3.499
-0.756,-3.401
-0.713,-3.207
-0.667,-3.000
-0.618,-2.782
-0.567,-2.552
-0.514,-2.312
-0.458,-2.062
-0.401,-1.804
-0.342,-1.539
-0.282,-1.268
-0.220,-0.991
-0.158,-0.711
-0.095,-0.428
-0.032,-0.143
0.032,0.143
0.095,0.428
0.158,0.711
0.220,0.991
0.282,1.268
0.342,1.539
0.401,1.804
0.458,2.062
0.514,2.312
0.567,2.552
0.618,2.782
0.667,3.000
0.713,3.207
0.756,3.401
0.796,3.581
0.833,3.747
0.866,3.897
0.896,4.032
0.922,4.151
0.945,4.253
0.964,4.337
0.979,4.405
0.990,4.454
0.997,4.486
1.000,4.499
0.999,4.499
0.994,4.499
0.985,4.499
0.972,4.499
0.955,4.499
0.934,4.499
0.910,4.499
0.881,4.499
0.850,4.499
0.815,4.499
0.776,4.493
0.735,4.306
0.690,4.105
0.643,3.893
0.593,3.668
0.541,3.433
0.486,3.188
0.430,2.934
0.372,2.672
0.312,2.404
0.251,2.130
0.189,1.852
0.127,1.570
0.063,1.285
0.000,1.000
-0.000,1.000
-0.190,0.144
-0.380,-0.709
-0.568,-1.555
-0.753,-2.390
-0.936,-3.212
-1.115,-4.017
-1.289,-4.802
-1.459,-5.564
-1.622,-6.299
-1.779,-7.004
-1.928,-7.678
-2.070,-8.316
-2.204,-8.917
-2.328,-9.478
-2.444,-9.997
-2.549,-10.471
-2.644,-10.900
-2.729,-11.280
-2.802,-11.611
-2.865,-11.891
-2.915,-12.119
-2.954,-12.295
-2.982,-12.417
-2.997,-12.485
-3.000,-12.498
-2.991,-12.498
-2.969,-12.498
-2.936,-12.498
-2.892,-12.498
-2.835,-12.498
-2.767,-12.452
-2.688,-12.096
-2.598,-11.691
-2.498,-11.240
-2.387,-10.743
-2.267,-10.203
-2.138,-9.621
-2.000,-9.001
-1.854,-8.345
-1.701,-7.655
-1.541,-6.935
-1.375,-6.186
-1.203,-5.413
-1.026,-4.617
-0.845,-3.803
-0.661,-2.974
-0.474,-2.133
-0.285,-1.283
-0.095,-0.428
0.095,0.428
0.285,1.283
0.474,2.133
0.661,2.974
0.845,3.803
1.026,4.617
1.203,5.413
1.375,6.186
1.541,6.935
1.701,7.655
1.854,8.345
2.000,9.001
2.138,9.621
2.267,10.203
2.387,10.743
2.498,11.240
2.598,11.691
2.688,12.096
2.767,12.452
2.835,12.758
2.892,13.012
2.936,13.214
2.969,13.363
2.991,13.458
3.000,13.498
2.997,13.498
2.982,13.498
2.954,13.498
2.915,13.498
2.865,13.498
2.802,13.498
2.729,13.280
2.644,12.900
2.549,12.471
2.444,11.997
2.328,11.478
2.204,10.917
2.070,10.316
1.928,9.678
1.779,9.004
1.622,8.299
1.459,7.564
1.289,6.802
1.115,6.017
0.936,5.212
0.753,4.390
0.568,3.555
0.380,2.709
0.190,1.856
0.000,1.000
-0.000,1.000
-0.076,0.658
-0.152,0.316
-0.227,-0.022
-0.301,-0.356
-0.374,-0.685
-0.446,-1.007
-0.516,-1.321
-0.583,-1.625
-0.649,-1.919
-0.711,-2.202
-0.771,-2.471
-0.828,-2.726
-0.882,-2.967
-0.931,-3.191
-0.977,-3.399
-1.020,-3.589
-1.058,-3.760
-1.092,-3.912
-1.121,-4.044
-1.146,-4.156
-1.166,-4.248
-1.182,-4.318
-1.193,-4.367
-1.199,-4.394
-1.200,-4.399
-1.196,-4.399
-1.188,-4.399
-1.175,-4.399
-1.157,-4.399
-1.134,-4.399
-1.107,-4.399
-1.075,-4.399
-1.039,-4.399
-0.999,-4.399
-0.955,-4.297
-0.907,-4.081
-0.855,-3.849
-0.800,-3.601
-0.742,-3.338
-0.680,-3.062
-0.616,-2.774
-0.550,-2.474
-0.481,-2.165
-0.410,-1.847
-0.338,-1.521
-0.264,-1.190
-0.190,-0.853
-0.114,-0.513
-0.038,-0.171
0.038,0.171
0.114,0.513
0.190,0.853
0.264,1.190
0.338,1.521
0.410,1.847
0.481,2.165
0.550,2.474
0.616,2.774
0.680,3.062
0.742,3.338
0.800,3.601
0.855,3.849
0.907,4.081
0.955,4.297
0.999,4.496
1.039,4.677
1.075,4.838
1.107,4.981
1.134,5.103
1.157,5.205
1.175,5.286
1.188,5.345
1.196,5.383
1.200,5.399
1.199,5.399
1.193,5.399
1.182,5.399
1.166,5.399
1.146,5.399
1.121,5.399
1.092,5.399
1.058,5.399
1.020,5.399
0.977,5.399
0.931,5.191
0.882,4.967
0.828,4.726
0.771,4.471
0.711,4.202
0.649,3.919
0.583,3.625
0.516,3.321
0.446,3.007
0.374,2.685
0.301,2.356
0.227,2.022
0.152,1.684
0.076,1.342
0.000,1.000
