# x,p
0.000,0.000
-0.000,0.000
-0.634,0.000
-1.266,0.000
-1.893,0.000
-2.511,0.000
-3.120,0.000
-3.717,0.000
-4.298,-0.894
-4.862,-2.586
-5.406,-4.219
-5.929,-5.787
-6.428,-7.284
-6.901,-8.702
-7.346,-10.038
-7.761,-11.284
-8.146,-12.437
-8.497,-13.492
-8.815,-14.444
-9.096,-15.289
-9.341,-16.024
-9.549,-16.647
-9.718,-17.154
-9.848,-17.544
-9.938,-17.815
-9.989,-17.966
-9.999,-17.996
-9.969,-17.996
-9.898,-17.996
-9.788,-17.996
-9.638,-17.996
-9.450,-17.996
-9.224,-17.996
-8.960,-17.996
-8.660,-17.996
-8.326,-17.996
-7.958,-17.996
-7.557,-17.996
-7.127,-17.996
-6.668,-17.996
-6.182,-17.996
-5.671,-17.012
-5.137,-15.410
-4.582,-13.747
-4.009,-12.028
-3.420,-10.261
-2.817,-8.452
-2.203,-6.609
-1.580,-4.740
-0.951,-2.852
-0.317,-0.952
0.317,0.952
0.951,2.852
1.580,4.740
2.203,6.609
2.817,8.452
3.420,10.261
4.009,12.028
4.582,13.747
5.137,15.410
5.671,17.012
6.182,18.545
6.668,20.003
7.127,21.381
7.557,22.672
7.958,23.873
8.326,24.977
8.660,25.981
8.960,26.880
9.224,27.671
9.450,28.350
9.638,28.915
9.788,29.364
9.898,29.695
9.969,29.906
9.999,29.996
9.989,29.996
9.938,29.996
9.848,29.996
9.718,29.996
9.549,29.996
9.341,29.996
9.096,29.996
8.815,29.996
8.497,29.996
8.146,29.996
7.761,29.996
7.346,29.996
6.901,29.996
6.428,29.996
5.929,29.787
5.406,28.219
4.862,26.586
4.298,24.894
3.717,23.150
3.120,21.361
2.511,19.534
1.893,17.678
1.266,15.798
0.634,13.903
0.000,12.000
-0.000,12.000
-0.317,11.049
-0.633,10.101
-0.946,9.161
-1.256,8.233
-1.560,7.319
-1.858,6.425
-2.149,5.553
-2.431,4.707
-2.703,3.890
-2.965,3.106
-3.214,2.358
-3.450,1.649
-3.673,0.981
-3.881,0.358
-4.073,-0.219
-4.249,-0.746
-4.407,-1.222
-4.548,-1.644
-4.671,-2.012
-4.775,-2.324
-4.859,-2.577
-4.924,-2.772
-4.969,-2.908
-4.994,-2.983
-4.999,-2.998
-4.984,-2.998
-4.949,-2.998
-4.894,-2.998
-4.819,-2.998
-4.725,-2.998
-4.612,-2.998
-4.480,-2.998
-4.330,-2.998
-4.163,-2.998
-3.979,-2.998
-3.779,-2.998
-3.563,-2.998
-3.334,-2.998
-3.091,-2.998
-2.835,-2.998
-2.568,-2.998
-2.291,-2.998
-2.005,-2.998
-1.710,-2.998
-1.409,-2.998
-1.102,-2.998
-0.790,-2.370
-0.475,-1.426
-0.159,-0.476
0.159,0.476
0.475,1.426
0.790,2.370
1.102,3.305
1.409,4.226
1.710,5.130
2.005,6.014
2.291,6.873
2.568,7.705
2.835,8.506
3.091,9.272
3.334,10.002
3.563,10.690
3.779,11.336
3.979,11.936
4.163,12.489
4.330,12.990
4.480,13.440
4.612,13.835
4.725,14.175
4.819,14.458
4.894,14.682
4.949,14.847
4.984,14.953
4.999,14.998
4.994,14.998
4.969,14.998
4.924,14.998
4.859,14.998
4.775,14.998
4.671,14.998
4.548,14.998
4.407,14.998
4.249,14.998
4.073,14.998
3.881,14.998
3.673,14.998
3.450,14.998
3.214,14.998
2.965,14.998
2.703,14.998
2.431,14.998
2.149,14.998
1.858,14.998
1.560,14.998
1.256,14.998
0.946,14.839
0.633,13.899
0.317,12.951
0.000,12.000
