# x,p
-0.000,0.000
-0.634,0.000
-1.266,0.000
-1.893,0.000
-2.511,-1.034
-3.120,-2.861
-3.717,-4.650
-4.298,-6.394
-4.862,-8.086
-5.406,-9.719
-5.929,-11.287
-6.428,-12.784
-6.901,-14.202
-7.346,-15.538
-7.761,-16.784
-8.146,-17.937
-8.497,-18.992
-8.815,-19.944
-9.096,-20.789
-9.341,-21.524
-9.549,-22.147
-9.718,-22.654
-9.848,-23.044
-9.938,-23.315
-9.989,-23.466
-9.999,-23.496
-9.969,-23.496
-9.898,-23.496
-9.788,-23.496
-9.638,-23.496
-9.450,-23.496
-9.224,-23.496
-8.960,-23.496
-8.660,-23.496
-8.326,-23.496
-7.958,-23.496
-7.557,-22.672
-7.127,-21.381
-6.668,-20.003
-6.182,-18.545
-5.671,-17.012
-5.137,-15.410
-4.582,-13.747
-4.009,-12.028
-3.420,-10.261
-2.817,-8.452
-2.203,-6.609
-1.580,-4.740
-0.951,-2.852
-0.317,-0.952
0.317,0.952
0.951,2.852
1.580,4.740
2.203,6.609
2.817,8.452
3.420,10.261
4.009,12.028
4.582,13.747
5.137,15.410
5.671,17.012
6.182,18.545
6.668,20.003
7.127,21.381
7.557,22.672
7.958,23.873
8.326,24.977
8.660,25.981
8.960,26.880
9.224,27.671
9.450,28.350
9.638,28.915
9.788,29.364
9.898,29.695
9.969,29.906
9.999,29.996
9.989,29.996
9.938,29.996
9.848,29.996
9.718,29.996
9.549,29.996
9.341,29.996
9.096,29.996
8.815,29.996
8.497,29.996
8.146,29.996
7.761,29.784
7.346,28.538
6.901,27.202
6.428,25.784
5.929,24.287
5.406,22.719
4.862,21.086
4.298,19.394
3.717,17.650
3.120,15.861
2.511,14.034
1.893,12.178
1.266,10.298
0.634,8.403
0.000,6.500
-0.000,6.500
-0.317,5.549
-0.633,4.601
-0.946,3.661
-1.256,2.733
-1.560,1.819
-1.858,0.925
-2.149,0.053
-2.431,-0.793
-2.703,-1.610
-2.965,-2.394
-3.214,-3.142
-3.450,-3.851
-3.673,-4.519
-3.881,-5.142
-4.073,-5.719
-4.249,-6.246
-4.407,-6.722
-4.548,-7.144
-4.671,-7.512
-4.775,-7.824
-4.859,-8.077
-4.924,-8.272
-4.969,-8.408
-4.994,-8.483
-4.999,-8.498
-4.984,-8.498
-4.949,-8.498
-4.894,-8.498
-4.819,-8.498
-4.725,-8.498
-4.612,-8.498
-4.480,-8.498
-4.330,-8.498
-4.163,-8.498
-3.979,-8.498
-3.779,-8.498
-3.563,-8.498
-3.334,-8.498
-3.091,-8.498
-2.835,-8.498
-2.568,-7.705
-2.291,-6.873
-2.005,-6.014
-1.710,-5.130
-1.409,-4.226
-1.102,-3.305
-0.790,-2.370
-0.475,-1.426
-0.159,-0.476
0.159,0.476
0.475,1.426
0.790,2.370
1.102,3.305
1.409,4.226
1.710,5.130
2.005,6.014
2.291,6.873
2.568,7.705
2.835,8.506
3.091,9.272
3.334,10.002
3.563,10.690
3.779,11.336
3.979,11.936
4.163,12.489
4.330,12.990
4.480,13.440
4.612,13.835
4.725,14.175
4.819,14.458
4.894,14.682
4.949,14.847
4.984,14.953
4.999,14.998
4.994,14.998
4.969,14.998
4.924,14.998
4.859,14.998
4.775,14.998
4.671,14.998
4.548,14.998
4.407,14.998
4.249,14.998
4.073,14.998
3.881,14.998
3.673,14.998
3.450,14.998
3.214,14.998
2.965,14.998
2.703,14.610
2.431,13.793
2.149,12.947
1.858,12.075
1.560,11.181
1.256,10.267
0.946,9.339
0.633,8.399
0.317,7.451
0.000,6.500
