# x,p
-0.000,-2.451
-0.634,-2.451
-1.266,-2.451
-1.893,-2.451
-2.511,-2.451
-3.120,-2.451
-3.717,-2.451
-4.298,-2.451
-4.862,-2.451
-5.406,-3.731
-5.929,-5.644
-6.428,-7.792
-6.901,-8.611
-7.346,-8.855
-7.761,-8.939
-8.146,-8.972
-8.497,-8.986
-8.815,-8.993
-9.096,-8.996
-9.341,-8.997
-9.549,-8.998
-9.718,-8.999
-9.848,-8.999
-9.938,-8.999
-9.989,-8.999
-9.999,-8.999
-9.969,-8.999
-9.898,-8.999
-9.788,-8.999
-9.638,-8.999
-9.450,-8.999
-9.224,-8.999
-8.960,-8.999
-8.660,-8.999
-8.326,-8.999
-7.958,-8.999
-7.557,-8.999
-7.127,-8.999
-6.668,-8.999
-6.182,-8.999
-5.671,-8.999
-5.137,-8.999
-4.582,-8.998
-4.009,-8.995
-3.420,-8.984
-2.817,-8.946
-2.203,-8.802
-1.580,-8.165
-0.951,-5.753
-0.317,-3.521
0.317,1.201
0.951,10.604
1.580,10.984
2.203,10.997
2.817,10.999
3.420,11.000
4.009,11.000
4.582,11.000
5.137,11.000
5.671,11.000
6.182,11.000
6.668,11.000
7.127,11.000
7.557,11.000
7.958,11.000
8.326,11.000
8.660,11.000
8.960,11.000
9.224,11.000
9.450,11.000
9.638,11.000
9.788,11.000
9.898,11.000
9.969,11.000
9.999,11.000
9.989,11.000
9.938,11.000
9.848,11.000
9.718,11.000
9.549,11.000
9.341,11.000
9.096,11.000
8.815,11.000
8.497,11.000
8.146,11.000
7.761,11.000
7.346,11.000
6.901,11.000
6.428,11.000
5.929,11.000
5.406,11.000
4.862,11.000
4.298,11.000
3.717,11.000
3.120,11.000
2.511,11.000
1.893,11.000
1.266,11.000
0.634,11.000
0.000,11.000
-0.000,11.000
-0.317,11.000
-0.633,11.000
-0.946,11.000
-1.256,11.000
-1.560,11.000
-1.858,10.999
-2.149,10.999
-2.431,10.998
-2.703,10.997
-2.965,10.995
-3.214,10.991
-3.450,10.982
-3.673,10.955
-3.881,10.861
-4.073,10.537
-4.249,9.538
-4.407,7.293
-4.548,4.150
-4.671,1.434
-4.775,-0.333
-4.859,-1.360
-4.924,-1.946
-4.969,-2.265
-4.994,-2.417
-4.999,-2.446
-4.984,-2.446
-4.949,-2.446
-4.894,-2.446
-4.819,-2.446
-4.725,-2.446
-4.612,-2.446
-4.480,-2.446
-4.330,-2.446
-4.163,-2.446
-3.979,-2.446
-3.779,-2.446
-3.563,-2.446
-3.334,-2.446
-3.091,-2.446
-2.835,-2.446
-2.568,-2.446
-2.291,-2.446
-2.005,-2.446
-1.710,-2.446
-1.409,-2.446
-1.102,-2.446
-0.790,-2.446
-0.475,-2.446
-0.159,-2.446
0.159,-1.167
0.475,4.694
0.790,9.863
1.102,10.846
1.409,10.969
1.710,10.989
2.005,10.995
2.291,10.997
2.568,10.998
2.835,10.999
3.091,10.999
3.334,11.000
3.563,11.000
3.779,11.000
3.979,11.000
4.163,11.000
4.330,11.000
4.480,11.000
4.612,11.000
4.725,11.000
4.819,11.000
4.894,11.000
4.949,11.000
4.984,11.000
4.999,11.000
4.994,11.000
4.969,11.000
4.924,11.000
4.859,11.000
4.775,11.000
4.671,11.000
4.548,11.000
4.407,11.000
4.249,11.000
4.073,11.000
3.881,11.000
3.673,11.000
3.450,11.000
3.214,11.000
2.965,11.000
2.703,11.000
2.431,11.000
2.149,11.000
1.858,11.000
1.560,11.000
1.256,11.000
0.946,11.000
0.633,11.000
0.317,11.000
0.000,11.000
