# x,p
-0.000,-5.000
-0.634,-5.000
-1.266,-5.000
-1.893,-10.370
-2.511,-65.990
-3.120,-120.800
-3.717,-174.530
-4.298,-226.820
-4.862,-277.580
-5.406,-326.540
-5.929,-373.610
-6.428,-418.520
-6.901,-461.090
-7.346,-501.140
-7.761,-538.490
-8.146,-573.140
-8.497,-604.730
-8.815,-633.350
-9.096,-658.640
-9.341,-680.690
-9.549,-699.410
-9.718,-714.620
-9.848,-726.320
-9.938,-734.420
-9.989,-739.010
-9.999,-739.910
-9.969,-739.910
-9.898,-739.910
-9.788,-739.910
-9.638,-739.910
-9.450,-739.910
-9.224,-739.910
-8.960,-739.910
-8.660,-739.910
-8.326,-739.910
-7.958,-721.220
-7.557,-685.130
-7.127,-646.430
-6.668,-605.120
-6.182,-561.380
-5.671,-515.390
-5.137,-467.330
-4.582,-417.380
-4.009,-365.810
-3.420,-312.800
-2.817,-258.530
-2.203,-203.270
-1.580,-147.200
-0.951,-90.590
-0.317,-33.530
0.317,23.530
0.951,80.590
1.580,137.200
2.203,193.270
2.817,248.530
3.420,302.800
4.009,355.810
4.582,407.380
5.137,457.330
5.671,505.390
6.182,551.380
6.668,595.120
7.127,636.430
7.557,675.130
7.958,711.220
8.326,744.340
8.660,774.400
8.960,801.400
9.224,825.160
9.450,845.500
9.638,862.420
9.788,875.920
9.898,885.820
9.969,892.210
9.999,894.910
9.989,894.910
9.938,894.910
9.848,894.910
9.718,894.910
9.549,894.910
9.341,894.910
9.096,894.910
8.815,894.910
8.497,894.910
8.146,893.140
7.761,858.490
7.346,821.140
6.901,781.090
6.428,738.520
5.929,693.610
5.406,646.540
4.862,597.580
4.298,546.820
3.717,494.530
3.120,440.800
2.511,385.990
1.893,330.370
1.266,273.940
0.634,217.060
0.000,160.000
-0.000,160.000
-0.317,131.470
-0.633,103.030
-0.946,74.860
-1.256,46.960
-1.560,19.600
-1.858,-7.220
-2.149,-33.410
-2.431,-58.790
-2.703,-83.270
-2.965,-106.850
-3.214,-129.260
-3.450,-150.500
-3.673,-170.570
-3.881,-189.290
-4.073,-206.570
-4.249,-222.410
-4.407,-236.630
-4.548,-249.320
-4.671,-260.390
-4.775,-269.750
-4.859,-277.310
-4.924,-283.160
-4.969,-287.210
-4.994,-289.460
-4.999,-289.910
-4.984,-289.910
-4.949,-289.910
-4.894,-289.910
-4.819,-289.910
-4.725,-289.910
-4.612,-289.910
-4.480,-289.910
-4.330,-289.910
-4.163,-289.910
-3.979,-289.910
-3.779,-289.910
-3.563,-289.910
-3.334,-289.910
-3.091,-283.190
-2.835,-260.150
-2.568,-236.120
-2.291,-211.190
-2.005,-185.450
-1.710,-158.900
-1.409,-131.810
-1.102,-104.180
-0.790,-76.100
-0.475,-47.750
-0.159,-19.310
0.159,9.310
0.475,37.750
0.790,66.100
1.102,94.180
1.409,121.810
1.710,148.900
2.005,175.450
2.291,201.190
2.568,226.120
2.835,250.150
3.091,273.190
3.334,295.060
3.563,315.670
3.779,335.110
3.979,353.110
4.163,369.670
4.330,384.700
4.480,398.200
4.612,410.080
4.725,420.250
4.819,428.710
4.894,435.460
4.949,440.410
4.984,443.560
4.999,444.910
4.994,444.910
4.969,444.910
4.924,444.910
4.859,444.910
4.775,444.910
4.671,444.910
4.548,444.910
4.407,444.910
4.249,444.910
4.073,444.910
3.881,444.910
3.673,444.910
3.450,444.910
3.214,444.910
2.965,426.850
2.703,403.270
2.431,378.790
2.149,353.410
1.858,327.220
1.560,300.400
1.256,273.040
0.946,245.140
0.633,216.970
0.317,188.530
0.000,160.000
