# x,p
-0.000,-5.000
-0.634,-5.000
-1.266,-5.000
-1.893,-5.000
-2.511,-5.000
-3.120,-15.800
-3.717,-69.530
-4.298,-121.820
-4.862,-172.580
-5.406,-221.540
-5.929,-268.610
-6.428,-313.520
-6.901,-356.090
-7.346,-396.140
-7.761,-433.490
-8.146,-468.140
-8.497,-499.730
-8.815,-528.350
-9.096,-553.640
-9.341,-575.690
-9.549,-594.410
-9.718,-609.620
-9.848,-621.320
-9.938,-629.420
-9.989,-634.010
-9.999,-634.910
-9.969,-634.910
-9.898,-634.910
-9.788,-634.910
-9.638,-634.910
-9.450,-634.910
-9.224,-634.910
-8.960,-634.910
-8.660,-634.910
-8.326,-634.910
-7.958,-634.910
-7.557,-634.910
-7.127,-634.910
-6.668,-605.120
-6.182,-561.380
-5.671,-515.390
-5.137,-467.330
-4.582,-417.380
-4.009,-365.810
-3.420,-312.800
-2.817,-258.530
-2.203,-203.270
-1.580,-147.200
-0.951,-90.590
-0.317,-33.530
0.317,23.530
0.951,80.590
1.580,137.200
2.203,193.270
2.817,248.530
3.420,302.800
4.009,355.810
4.582,407.380
5.137,457.330
5.671,505.390
6.182,551.380
6.668,595.120
7.127,636.430
7.557,675.130
7.958,711.220
8.326,744.340
8.660,774.400
8.960,801.400
9.224,825.160
9.450,845.500
9.638,862.420
9.788,875.920
9.898,885.820
9.969,892.210
9.999,894.910
9.989,894.910
9.938,894.910
9.848,894.910
9.718,894.910
9.549,894.910
9.341,894.910
9.096,894.910
8.815,894.910
8.497,894.910
8.146,894.910
7.761,894.910
7.346,894.910
6.901,886.090
6.428,843.520
5.929,798.610
5.406,751.540
4.862,702.580
4.298,651.820
3.717,599.530
3.120,545.800
2.511,490.990
1.893,435.370
1.266,378.940
0.634,322.060
0.000,265.000
-0.000,265.000
-0.317,236.470
-0.633,208.030
-0.946,179.860
-1.256,151.960
-1.560,124.600
-1.858,97.780
-2.149,71.590
-2.431,46.210
-2.703,21.730
-2.965,-1.850
-3.214,-24.260
-3.450,-45.500
-3.673,-65.570
-3.881,-84.290
-4.073,-101.570
-4.249,-117.410
-4.407,-131.630
-4.548,-144.320
-4.671,-155.390
-4.775,-164.750
-4.859,-172.310
-4.924,-178.160
-4.969,-182.210
-4.994,-184.460
-4.999,-184.910
-4.984,-184.910
-4.949,-184.910
-4.894,-184.910
-4.819,-184.910
-4.725,-184.910
-4.612,-184.910
-4.480,-184.910
-4.330,-184.910
-4.163,-184.910
-3.979,-184.910
-3.779,-184.910
-3.563,-184.910
-3.334,-184.910
-3.091,-184.910
-2.835,-184.910
-2.568,-184.910
-2.291,-184.910
-2.005,-184.910
-1.710,-158.900
-1.409,-131.810
-1.102,-104.180
-0.790,-76.100
-0.475,-47.750
-0.159,-19.310
0.159,9.310
0.475,37.750
0.790,66.100
1.102,94.180
1.409,121.810
1.710,148.900
2.005,175.450
2.291,201.190
2.568,226.120
2.835,250.150
3.091,273.190
3.334,295.060
3.563,315.670
3.779,335.110
3.979,353.110
4.163,369.670
4.330,384.700
4.480,398.200
4.612,410.080
4.725,420.250
4.819,428.710
4.894,435.460
4.949,440.410
4.984,443.560
4.999,444.910
4.994,444.910
4.969,444.910
4.924,444.910
4.859,444.910
4.775,444.910
4.671,444.910
4.548,444.910
4.407,444.910
4.249,444.910
4.073,444.910
3.881,444.910
3.673,444.910
3.450,444.910
3.214,444.910
2.965,444.910
2.703,444.910
2.431,444.910
2.149,444.910
1.858,432.220
1.560,405.400
1.256,378.040
0.946,350.140
0.633,321.970
0.317,293.530
0.000,265.000
